regiao,uf,sexo,idade,Cctegoria,quantidade_condutor
Centro-Oeste,Distrito Federal,Masculino,91 a 100,AD-Condutor Moto/Ônibus,34
Centro-Oeste,Distrito Federal,Masculino,91 a 100,AE-Condutor Moto/Carreta,1
Centro-Oeste,Distrito Federal,Masculino,91 a 100,B-Condutor Carro,6312
Centro-Oeste,Distrito Federal,Masculino,91 a 100,C-Condutor Caminhão,74
Centro-Oeste,Distrito Federal,Masculino,91 a 100,D-Condutor Ônibus,582
Centro-Oeste,Distrito Federal,Masculino,91 a 100,E-Condutor Carreta,3
Centro-Oeste,Distrito Federal,Masculino,101 a 120,AB-Condutor Moto/Carro,22
Centro-Oeste,Distrito Federal,Masculino,101 a 120,AD-Condutor Moto/Ônibus,2
Centro-Oeste,Distrito Federal,Masculino,101 a 120,B-Condutor Carro,879
Centro-Oeste,Distrito Federal,Masculino,101 a 120,D-Condutor Ônibus,27
Centro-Oeste,Distrito Federal,Feminino,18 a 21,A-Condutor Moto,17
Centro-Oeste,Distrito Federal,Feminino,18 a 21,AB-Condutor Moto/Carro,2395
Centro-Oeste,Distrito Federal,Feminino,18 a 21,AC-Condutor Moto/Caminhão,1
Centro-Oeste,Distrito Federal,Feminino,18 a 21,AD-Condutor Moto/Ônibus,1
Centro-Oeste,Distrito Federal,Feminino,18 a 21,B-Condutor Carro,14456
Centro-Oeste,Distrito Federal,Feminino,18 a 21,D-Condutor Ônibus,1
Centro-Oeste,Distrito Federal,Feminino,22 a 25,A-Condutor Moto,154
Centro-Oeste,Distrito Federal,Feminino,22 a 25,AB-Condutor Moto/Carro,5882
Centro-Oeste,Distrito Federal,Feminino,22 a 25,AD-Condutor Moto/Ônibus,17
Centro-Oeste,Distrito Federal,Feminino,22 a 25,B-Condutor Carro,35545
Centro-Oeste,Distrito Federal,Feminino,22 a 25,D-Condutor Ônibus,16
Centro-Oeste,Distrito Federal,Feminino,26 a 30,A-Condutor Moto,404
Centro-Oeste,Distrito Federal,Feminino,26 a 30,AB-Condutor Moto/Carro,10811
Centro-Oeste,Distrito Federal,Feminino,26 a 30,AC-Condutor Moto/Caminhão,1
Centro-Oeste,Distrito Federal,Feminino,26 a 30,AD-Condutor Moto/Ônibus,90
Centro-Oeste,Distrito Federal,Feminino,26 a 30,AE-Condutor Moto/Carreta,3
Centro-Oeste,Distrito Federal,Feminino,26 a 30,B-Condutor Carro,62576
Centro-Oeste,Distrito Federal,Feminino,26 a 30,D-Condutor Ônibus,153
Centro-Oeste,Distrito Federal,Feminino,26 a 30,E-Condutor Carreta,2
Centro-Oeste,Distrito Federal,Feminino,31 a 40,A-Condutor Moto,963
Centro-Oeste,Distrito Federal,Feminino,31 a 40,AB-Condutor Moto/Carro,24711
Centro-Oeste,Distrito Federal,Feminino,31 a 40,AC-Condutor Moto/Caminhão,1
Centro-Oeste,Distrito Federal,Feminino,31 a 40,AD-Condutor Moto/Ônibus,635
Centro-Oeste,Distrito Federal,Feminino,31 a 40,AE-Condutor Moto/Carreta,40
Centro-Oeste,Distrito Federal,Feminino,31 a 40,B-Condutor Carro,163880
Centro-Oeste,Distrito Federal,Feminino,31 a 40,C-Condutor Caminhão,1
Centro-Oeste,Distrito Federal,Feminino,31 a 40,D-Condutor Ônibus,923
Centro-Oeste,Distrito Federal,Feminino,31 a 40,E-Condutor Carreta,13
Centro-Oeste,Distrito Federal,Feminino,41 a 50,A-Condutor Moto,610
Centro-Oeste,Distrito Federal,Feminino,41 a 50,AB-Condutor Moto/Carro,12714
Centro-Oeste,Distrito Federal,Feminino,41 a 50,AC-Condutor Moto/Caminhão,17
Centro-Oeste,Distrito Federal,Feminino,41 a 50,AD-Condutor Moto/Ônibus,763
Centro-Oeste,Distrito Federal,Feminino,41 a 50,AE-Condutor Moto/Carreta,55
Centro-Oeste,Distrito Federal,Feminino,41 a 50,B-Condutor Carro,154003
Centro-Oeste,Distrito Federal,Feminino,41 a 50,C-Condutor Caminhão,15
Centro-Oeste,Distrito Federal,Feminino,41 a 50,D-Condutor Ônibus,1557
Centro-Oeste,Distrito Federal,Feminino,41 a 50,E-Condutor Carreta,33
Centro-Oeste,Distrito Federal,Feminino,41 a 50,XB-Condutor Ciclomotor/Carro,1
Centro-Oeste,Distrito Federal,Feminino,51 a 60,A-Condutor Moto,159
Centro-Oeste,Distrito Federal,Feminino,51 a 60,AB-Condutor Moto/Carro,4502
Centro-Oeste,Distrito Federal,Feminino,51 a 60,AC-Condutor Moto/Caminhão,59
Centro-Oeste,Distrito Federal,Feminino,51 a 60,AD-Condutor Moto/Ônibus,339
Centro-Oeste,Distrito Federal,Feminino,51 a 60,AE-Condutor Moto/Carreta,25
Centro-Oeste,Distrito Federal,Feminino,51 a 60,B-Condutor Carro,100317
Centro-Oeste,Distrito Federal,Feminino,51 a 60,C-Condutor Caminhão,115
Centro-Oeste,Distrito Federal,Feminino,51 a 60,D-Condutor Ônibus,1233
Centro-Oeste,Distrito Federal,Feminino,51 a 60,E-Condutor Carreta,22
Centro-Oeste,Distrito Federal,Feminino,61 a 70,A-Condutor Moto,15
Centro-Oeste,Distrito Federal,Feminino,61 a 70,AB-Condutor Moto/Carro,1259
Centro-Oeste,Distrito Federal,Feminino,61 a 70,AC-Condutor Moto/Caminhão,12
Centro-Oeste,Distrito Federal,Feminino,61 a 70,AD-Condutor Moto/Ônibus,60
Centro-Oeste,Distrito Federal,Feminino,61 a 70,AE-Condutor Moto/Carreta,6
Centro-Oeste,Distrito Federal,Feminino,61 a 70,B-Condutor Carro,58553
Centro-Oeste,Distrito Federal,Feminino,61 a 70,C-Condutor Caminhão,59
Centro-Oeste,Distrito Federal,Feminino,61 a 70,D-Condutor Ônibus,438
Centro-Oeste,Distrito Federal,Feminino,61 a 70,E-Condutor Carreta,4
Centro-Oeste,Distrito Federal,Feminino,71 a 80,AB-Condutor Moto/Carro,157
Centro-Oeste,Distrito Federal,Feminino,71 a 80,AD-Condutor Moto/Ônibus,8
Centro-Oeste,Distrito Federal,Feminino,71 a 80,AE-Condutor Moto/Carreta,1
Centro-Oeste,Distrito Federal,Feminino,71 a 80,B-Condutor Carro,26765
Centro-Oeste,Distrito Federal,Feminino,71 a 80,C-Condutor Caminhão,17
Centro-Oeste,Distrito Federal,Feminino,71 a 80,D-Condutor Ônibus,109
Centro-Oeste,Distrito Federal,Feminino,71 a 80,E-Condutor Carreta,1
Centro-Oeste,Distrito Federal,Feminino,81 a 90,AB-Condutor Moto/Carro,14
Centro-Oeste,Distrito Federal,Feminino,81 a 90,AD-Condutor Moto/Ônibus,1
Centro-Oeste,Distrito Federal,Feminino,81 a 90,B-Condutor Carro,8330
Centro-Oeste,Distrito Federal,Feminino,81 a 90,C-Condutor Caminhão,4
Centro-Oeste,Distrito Federal,Feminino,81 a 90,D-Condutor Ônibus,23
Centro-Oeste,Distrito Federal,Feminino,91 a 100,AB-Condutor Moto/Carro,5
Centro-Oeste,Distrito Federal,Feminino,91 a 100,B-Condutor Carro,1651
Centro-Oeste,Distrito Federal,Feminino,101 a 120,B-Condutor Carro,115
Centro-Oeste,Distrito Federal,Feminino,101 a 120,E-Condutor Carreta,1
Centro-Oeste,Goiás,Masculino,18 a 21,A-Condutor Moto,1102
Centro-Oeste,Goiás,Masculino,18 a 21,AB-Condutor Moto/Carro,46712
Centro-Oeste,Goiás,Masculino,18 a 21,AC-Condutor Moto/Caminhão,169
Centro-Oeste,Goiás,Masculino,18 a 21,AD-Condutor Moto/Ônibus,177
Centro-Oeste,Goiás,Masculino,18 a 21,AE-Condutor Moto/Carreta,20
Centro-Oeste,Goiás,Masculino,18 a 21,B-Condutor Carro,15130
Centro-Oeste,Goiás,Masculino,18 a 21,C-Condutor Caminhão,27
Centro-Oeste,Goiás,Masculino,18 a 21,D-Condutor Ônibus,13
Centro-Oeste,Goiás,Masculino,18 a 21,E-Condutor Carreta,1
Centro-Oeste,Goiás,Masculino,22 a 25,A-Condutor Moto,4179
Centro-Oeste,Goiás,Masculino,22 a 25,AB-Condutor Moto/Carro,93347
Centro-Oeste,Goiás,Masculino,22 a 25,AC-Condutor Moto/Caminhão,408
Centro-Oeste,Goiás,Masculino,22 a 25,AD-Condutor Moto/Ônibus,4087
Centro-Oeste,Goiás,Masculino,22 a 25,AE-Condutor Moto/Carreta,632
Centro-Oeste,Goiás,Masculino,22 a 25,B-Condutor Carro,27638
Centro-Oeste,Goiás,Masculino,22 a 25,C-Condutor Caminhão,49
Centro-Oeste,Goiás,Masculino,22 a 25,D-Condutor Ônibus,321
Centro-Oeste,Goiás,Masculino,22 a 25,E-Condutor Carreta,65
Centro-Oeste,Goiás,Masculino,26 a 30,A-Condutor Moto,8347
Centro-Oeste,Goiás,Masculino,26 a 30,AB-Condutor Moto/Carro,137336
Centro-Oeste,Goiás,Masculino,26 a 30,AC-Condutor Moto/Caminhão,952
Centro-Oeste,Goiás,Masculino,26 a 30,AD-Condutor Moto/Ônibus,13394
Centro-Oeste,Goiás,Masculino,26 a 30,AE-Condutor Moto/Carreta,3701
Centro-Oeste,Goiás,Masculino,26 a 30,B-Condutor Carro,35169
Centro-Oeste,Goiás,Masculino,26 a 30,C-Condutor Caminhão,90
Centro-Oeste,Goiás,Masculino,26 a 30,D-Condutor Ônibus,968
Centro-Oeste,Goiás,Masculino,26 a 30,E-Condutor Carreta,204
Centro-Oeste,Goiás,Masculino,31 a 40,A-Condutor Moto,20320
Centro-Oeste,Goiás,Masculino,31 a 40,AB-Condutor Moto/Carro,261181
Centro-Oeste,Goiás,Masculino,31 a 40,AC-Condutor Moto/Caminhão,2840
Centro-Oeste,Goiás,Masculino,31 a 40,AD-Condutor Moto/Ônibus,56384
Centro-Oeste,Goiás,Masculino,31 a 40,AE-Condutor Moto/Carreta,22918
Centro-Oeste,Goiás,Masculino,31 a 40,B-Condutor Carro,72163
Centro-Oeste,Goiás,Masculino,31 a 40,C-Condutor Caminhão,460
Centro-Oeste,Goiás,Masculino,31 a 40,D-Condutor Ônibus,5911
Centro-Oeste,Goiás,Masculino,31 a 40,E-Condutor Carreta,2236
Centro-Oeste,Goiás,Masculino,41 a 50,A-Condutor Moto,14754
Centro-Oeste,Goiás,Masculino,41 a 50,AB-Condutor Moto/Carro,176311
Centro-Oeste,Goiás,Masculino,41 a 50,AC-Condutor Moto/Caminhão,7934
Centro-Oeste,Goiás,Masculino,41 a 50,AD-Condutor Moto/Ônibus,54116
Centro-Oeste,Goiás,Masculino,41 a 50,AE-Condutor Moto/Carreta,25272
Centro-Oeste,Goiás,Masculino,41 a 50,B-Condutor Carro,80474
Centro-Oeste,Goiás,Masculino,41 a 50,C-Condutor Caminhão,3148
Centro-Oeste,Goiás,Masculino,41 a 50,D-Condutor Ônibus,14403
Centro-Oeste,Goiás,Masculino,41 a 50,E-Condutor Carreta,7400
Centro-Oeste,Goiás,Masculino,51 a 60,A-Condutor Moto,9927
Centro-Oeste,Goiás,Masculino,51 a 60,AB-Condutor Moto/Carro,99520
Centro-Oeste,Goiás,Masculino,51 a 60,AC-Condutor Moto/Caminhão,12449
Centro-Oeste,Goiás,Masculino,51 a 60,AD-Condutor Moto/Ônibus,35758
Centro-Oeste,Goiás,Masculino,51 a 60,AE-Condutor Moto/Carreta,13217
Centro-Oeste,Goiás,Masculino,51 a 60,B-Condutor Carro,76402
Centro-Oeste,Goiás,Masculino,51 a 60,C-Condutor Caminhão,7951
Centro-Oeste,Goiás,Masculino,51 a 60,D-Condutor Ônibus,20860
Centro-Oeste,Goiás,Masculino,51 a 60,E-Condutor Carreta,7763
Centro-Oeste,Goiás,Masculino,51 a 60,XC-Condutor Ciclomotor/Caminhão,1
Centro-Oeste,Goiás,Masculino,61 a 70,A-Condutor Moto,4411
Centro-Oeste,Goiás,Masculino,61 a 70,AB-Condutor Moto/Carro,42560
Centro-Oeste,Goiás,Masculino,61 a 70,AC-Condutor Moto/Caminhão,7695
Centro-Oeste,Goiás,Masculino,61 a 70,AD-Condutor Moto/Ônibus,14538
Centro-Oeste,Goiás,Masculino,61 a 70,AE-Condutor Moto/Carreta,4563
Centro-Oeste,Goiás,Masculino,61 a 70,B-Condutor Carro,70537
Centro-Oeste,Goiás,Masculino,61 a 70,C-Condutor Caminhão,12413
Centro-Oeste,Goiás,Masculino,61 a 70,D-Condutor Ônibus,19429
Centro-Oeste,Goiás,Masculino,61 a 70,E-Condutor Carreta,6463
Centro-Oeste,Goiás,Masculino,71 a 80,A-Condutor Moto,1466
Centro-Oeste,Goiás,Masculino,71 a 80,AB-Condutor Moto/Carro,15180
Centro-Oeste,Goiás,Masculino,71 a 80,AC-Condutor Moto/Caminhão,1732
Centro-Oeste,Goiás,Masculino,71 a 80,AD-Condutor Moto/Ônibus,2955
Centro-Oeste,Goiás,Masculino,71 a 80,AE-Condutor Moto/Carreta,515
Centro-Oeste,Goiás,Masculino,71 a 80,B-Condutor Carro,51432
Centro-Oeste,Goiás,Masculino,71 a 80,C-Condutor Caminhão,6223
Centro-Oeste,Goiás,Masculino,71 a 80,D-Condutor Ônibus,8602
Centro-Oeste,Goiás,Masculino,71 a 80,E-Condutor Carreta,1692
Centro-Oeste,Goiás,Masculino,81 a 90,A-Condutor Moto,368
Centro-Oeste,Goiás,Masculino,81 a 90,AB-Condutor Moto/Carro,3757
Centro-Oeste,Goiás,Masculino,81 a 90,AC-Condutor Moto/Caminhão,329
Centro-Oeste,Goiás,Masculino,81 a 90,AD-Condutor Moto/Ônibus,570
Centro-Oeste,Goiás,Masculino,81 a 90,AE-Condutor Moto/Carreta,31
Centro-Oeste,Goiás,Masculino,81 a 90,B-Condutor Carro,24724
Centro-Oeste,Goiás,Masculino,81 a 90,C-Condutor Caminhão,2579
Centro-Oeste,Goiás,Masculino,81 a 90,D-Condutor Ônibus,3448
Centro-Oeste,Goiás,Masculino,81 a 90,E-Condutor Carreta,268
Centro-Oeste,Goiás,Masculino,91 a 100,A-Condutor Moto,42
Centro-Oeste,Goiás,Masculino,91 a 100,AB-Condutor Moto/Carro,547
Centro-Oeste,Goiás,Masculino,91 a 100,AC-Condutor Moto/Caminhão,26
Centro-Oeste,Goiás,Masculino,91 a 100,AD-Condutor Moto/Ônibus,41
Centro-Oeste,Goiás,Masculino,91 a 100,AE-Condutor Moto/Carreta,1
Centro-Oeste,Goiás,Masculino,91 a 100,B-Condutor Carro,8380
Centro-Oeste,Goiás,Masculino,91 a 100,C-Condutor Caminhão,377
Centro-Oeste,Goiás,Masculino,91 a 100,D-Condutor Ônibus,562
Centro-Oeste,Goiás,Masculino,91 a 100,E-Condutor Carreta,25
Centro-Oeste,Goiás,Masculino,101 a 120,A-Condutor Moto,1
Centro-Oeste,Goiás,Masculino,101 a 120,AB-Condutor Moto/Carro,24
Centro-Oeste,Goiás,Masculino,101 a 120,AC-Condutor Moto/Caminhão,1
Centro-Oeste,Goiás,Masculino,101 a 120,AD-Condutor Moto/Ônibus,1
Centro-Oeste,Goiás,Masculino,101 a 120,B-Condutor Carro,1050
Centro-Oeste,Goiás,Masculino,101 a 120,C-Condutor Caminhão,14
Centro-Oeste,Goiás,Masculino,101 a 120,D-Condutor Ônibus,23
Centro-Oeste,Goiás,Feminino,18 a 21,A-Condutor Moto,664
Centro-Oeste,Goiás,Feminino,18 a 21,AB-Condutor Moto/Carro,18797
Centro-Oeste,Goiás,Feminino,18 a 21,AC-Condutor Moto/Caminhão,2
Centro-Oeste,Goiás,Feminino,18 a 21,AD-Condutor Moto/Ônibus,4
Centro-Oeste,Goiás,Feminino,18 a 21,B-Condutor Carro,18068
Centro-Oeste,Goiás,Feminino,22 a 25,A-Condutor Moto,2288
Centro-Oeste,Goiás,Feminino,22 a 25,AB-Condutor Moto/Carro,43700
Centro-Oeste,Goiás,Feminino,22 a 25,AC-Condutor Moto/Caminhão,10
Centro-Oeste,Goiás,Feminino,22 a 25,AD-Condutor Moto/Ônibus,135
Centro-Oeste,Goiás,Feminino,22 a 25,AE-Condutor Moto/Carreta,4
Centro-Oeste,Goiás,Feminino,22 a 25,B-Condutor Carro,36414
Centro-Oeste,Goiás,Feminino,22 a 25,C-Condutor Caminhão,1
Centro-Oeste,Goiás,Feminino,22 a 25,D-Condutor Ônibus,18
Centro-Oeste,Goiás,Feminino,26 a 30,A-Condutor Moto,5779
Centro-Oeste,Goiás,Feminino,26 a 30,AB-Condutor Moto/Carro,74627
Centro-Oeste,Goiás,Feminino,26 a 30,AC-Condutor Moto/Caminhão,18
Centro-Oeste,Goiás,Feminino,26 a 30,AD-Condutor Moto/Ônibus,577
Centro-Oeste,Goiás,Feminino,26 a 30,AE-Condutor Moto/Carreta,55
Centro-Oeste,Goiás,Feminino,26 a 30,B-Condutor Carro,54662
Centro-Oeste,Goiás,Feminino,26 a 30,C-Condutor Caminhão,3
Centro-Oeste,Goiás,Feminino,26 a 30,D-Condutor Ônibus,68
Centro-Oeste,Goiás,Feminino,26 a 30,E-Condutor Carreta,4
Centro-Oeste,Goiás,Feminino,31 a 40,A-Condutor Moto,16325
Centro-Oeste,Goiás,Feminino,31 a 40,AB-Condutor Moto/Carro,152496
Centro-Oeste,Goiás,Feminino,31 a 40,AC-Condutor Moto/Caminhão,65
Centro-Oeste,Goiás,Feminino,31 a 40,AD-Condutor Moto/Ônibus,2588
Centro-Oeste,Goiás,Feminino,31 a 40,AE-Condutor Moto/Carreta,363
Centro-Oeste,Goiás,Feminino,31 a 40,B-Condutor Carro,129430
Centro-Oeste,Goiás,Feminino,31 a 40,C-Condutor Caminhão,30
Centro-Oeste,Goiás,Feminino,31 a 40,D-Condutor Ônibus,559
Centro-Oeste,Goiás,Feminino,31 a 40,E-Condutor Carreta,27
Centro-Oeste,Goiás,Feminino,41 a 50,A-Condutor Moto,14015
Centro-Oeste,Goiás,Feminino,41 a 50,AB-Condutor Moto/Carro,88282
Centro-Oeste,Goiás,Feminino,41 a 50,AC-Condutor Moto/Caminhão,117
Centro-Oeste,Goiás,Feminino,41 a 50,AD-Condutor Moto/Ônibus,2023
Centro-Oeste,Goiás,Feminino,41 a 50,AE-Condutor Moto/Carreta,362
Centro-Oeste,Goiás,Feminino,41 a 50,B-Condutor Carro,129981
Centro-Oeste,Goiás,Feminino,41 a 50,C-Condutor Caminhão,66
Centro-Oeste,Goiás,Feminino,41 a 50,D-Condutor Ônibus,987
Centro-Oeste,Goiás,Feminino,41 a 50,E-Condutor Carreta,82
Centro-Oeste,Goiás,Feminino,51 a 60,A-Condutor Moto,6371
Centro-Oeste,Goiás,Feminino,51 a 60,AB-Condutor Moto/Carro,29572
Centro-Oeste,Goiás,Feminino,51 a 60,AC-Condutor Moto/Caminhão,153
Centro-Oeste,Goiás,Feminino,51 a 60,AD-Condutor Moto/Ônibus,712
Centro-Oeste,Goiás,Feminino,51 a 60,AE-Condutor Moto/Carreta,99
Centro-Oeste,Goiás,Feminino,51 a 60,B-Condutor Carro,101049
Centro-Oeste,Goiás,Feminino,51 a 60,C-Condutor Caminhão,190
Centro-Oeste,Goiás,Feminino,51 a 60,D-Condutor Ônibus,857
Centro-Oeste,Goiás,Feminino,51 a 60,E-Condutor Carreta,69
Centro-Oeste,Goiás,Feminino,61 a 70,A-Condutor Moto,1206
Centro-Oeste,Goiás,Feminino,61 a 70,AB-Condutor Moto/Carro,4966
Centro-Oeste,Goiás,Feminino,61 a 70,AC-Condutor Moto/Caminhão,41
Centro-Oeste,Goiás,Feminino,61 a 70,AD-Condutor Moto/Ônibus,111
Centro-Oeste,Goiás,Feminino,61 a 70,AE-Condutor Moto/Carreta,22
Centro-Oeste,Goiás,Feminino,61 a 70,B-Condutor Carro,60985
Centro-Oeste,Goiás,Feminino,61 a 70,C-Condutor Caminhão,163
Centro-Oeste,Goiás,Feminino,61 a 70,D-Condutor Ônibus,376
Centro-Oeste,Goiás,Feminino,61 a 70,E-Condutor Carreta,20
Centro-Oeste,Goiás,Feminino,71 a 80,A-Condutor Moto,119
Centro-Oeste,Goiás,Feminino,71 a 80,AB-Condutor Moto/Carro,513
