"Região Habilitação Atual","UF Habilitação Atual","Sexo","Faixa Etária","Categoria","Qt. Condutor Histórico"
"Centro-Oeste","Goiás","Masculino","18 a 21","AC-Condutor Moto/Caminhão","170"
"Centro-Oeste","Goiás","Masculino","18 a 21","AD-Condutor Moto/Ônibus","107"
"Centro-Oeste","Goiás","Masculino","18 a 21","AE-Condutor Moto/Carreta","16"
"Centro-Oeste","Goiás","Masculino","18 a 21","B-Condutor Carro","14.618"
"Centro-Oeste","Goiás","Masculino","18 a 21","C-Condutor Caminhão","28"
"Centro-Oeste","Goiás","Masculino","18 a 21","D-Condutor Ônibus","5"
"Centro-Oeste","Goiás","Masculino","18 a 21","E-Condutor Carreta","2"
"Centro-Oeste","Goiás","Masculino","22 a 25","A-Condutor Moto","5.769"
"Centro-Oeste","Goiás","Masculino","22 a 25","AB-Condutor Moto/Carro","96.257"
"Centro-Oeste","Goiás","Masculino","22 a 25","AC-Condutor Moto/Caminhão","514"
"Centro-Oeste","Goiás","Masculino","22 a 25","AD-Condutor Moto/Ônibus","4.001"
"Centro-Oeste","Goiás","Masculino","22 a 25","AE-Condutor Moto/Carreta","636"
"Centro-Oeste","Goiás","Masculino","22 a 25","B-Condutor Carro","26.570"
"Centro-Oeste","Goiás","Masculino","22 a 25","C-Condutor Caminhão","56"
"Centro-Oeste","Goiás","Masculino","22 a 25","D-Condutor Ônibus","311"
"Centro-Oeste","Goiás","Masculino","22 a 25","E-Condutor Carreta","48"
"Centro-Oeste","Goiás","Masculino","26 a 30","A-Condutor Moto","10.856"
"Centro-Oeste","Goiás","Masculino","26 a 30","AB-Condutor Moto/Carro","131.112"
"Centro-Oeste","Goiás","Masculino","26 a 30","AC-Condutor Moto/Caminhão","1.318"
"Centro-Oeste","Goiás","Masculino","26 a 30","AD-Condutor Moto/Ônibus","15.372"
"Centro-Oeste","Goiás","Masculino","26 a 30","AE-Condutor Moto/Carreta","4.530"
"Centro-Oeste","Goiás","Masculino","26 a 30","B-Condutor Carro","32.205"
"Centro-Oeste","Goiás","Masculino","26 a 30","C-Condutor Caminhão","116"
"Centro-Oeste","Goiás","Masculino","26 a 30","D-Condutor Ônibus","1.004"
"Centro-Oeste","Goiás","Masculino","26 a 30","E-Condutor Carreta","218"
"Centro-Oeste","Goiás","Masculino","31 a 40","A-Condutor Moto","22.175"
"Centro-Oeste","Goiás","Masculino","31 a 40","AB-Condutor Moto/Carro","245.835"
"Centro-Oeste","Goiás","Masculino","31 a 40","AC-Condutor Moto/Caminhão","3.272"
"Centro-Oeste","Goiás","Masculino","31 a 40","AD-Condutor Moto/Ônibus","57.587"
"Centro-Oeste","Goiás","Masculino","31 a 40","AE-Condutor Moto/Carreta","23.538"
"Centro-Oeste","Goiás","Masculino","31 a 40","B-Condutor Carro","73.049"
"Centro-Oeste","Goiás","Masculino","31 a 40","C-Condutor Caminhão","695"
"Centro-Oeste","Goiás","Masculino","31 a 40","D-Condutor Ônibus","7.288"
"Centro-Oeste","Goiás","Masculino","31 a 40","E-Condutor Carreta","2.864"
"Centro-Oeste","Goiás","Masculino","41 a 50","A-Condutor Moto","14.714"
"Centro-Oeste","Goiás","Masculino","41 a 50","AB-Condutor Moto/Carro","154.936"
"Centro-Oeste","Goiás","Masculino","41 a 50","AC-Condutor Moto/Caminhão","9.544"
"Centro-Oeste","Goiás","Masculino","41 a 50","AD-Condutor Moto/Ônibus","49.736"
"Centro-Oeste","Goiás","Masculino","41 a 50","AE-Condutor Moto/Carreta","22.148"
"Centro-Oeste","Goiás","Masculino","41 a 50","B-Condutor Carro","78.019"
"Centro-Oeste","Goiás","Masculino","41 a 50","C-Condutor Caminhão","4.068"
"Centro-Oeste","Goiás","Masculino","41 a 50","D-Condutor Ônibus","15.899"
"Centro-Oeste","Goiás","Masculino","41 a 50","E-Condutor Carreta","7.613"
"Centro-Oeste","Goiás","Masculino","51 a 60","A-Condutor Moto","9.099"
"Centro-Oeste","Goiás","Masculino","51 a 60","AB-Condutor Moto/Carro","83.778"
"Centro-Oeste","Goiás","Masculino","51 a 60","AC-Condutor Moto/Caminhão","13.516"
"Centro-Oeste","Goiás","Masculino","51 a 60","AD-Condutor Moto/Ônibus","32.325"
"Centro-Oeste","Goiás","Masculino","51 a 60","AE-Condutor Moto/Carreta","11.056"
"Centro-Oeste","Goiás","Masculino","51 a 60","B-Condutor Carro","73.482"
"Centro-Oeste","Goiás","Masculino","51 a 60","C-Condutor Caminhão","10.188"
"Centro-Oeste","Goiás","Masculino","51 a 60","D-Condutor Ônibus","22.174"
"Centro-Oeste","Goiás","Masculino","51 a 60","E-Condutor Carreta","7.728"
"Centro-Oeste","Goiás","Masculino","51 a 60","XC-Condutor Ciclomotor/Caminhão","1"
"Centro-Oeste","Goiás","Masculino","61 a 70","A-Condutor Moto","3.698"
"Centro-Oeste","Goiás","Masculino","61 a 70","AB-Condutor Moto/Carro","32.571"
"Centro-Oeste","Goiás","Masculino","61 a 70","AC-Condutor Moto/Caminhão","6.735"
"Centro-Oeste","Goiás","Masculino","61 a 70","AD-Condutor Moto/Ônibus","12.125"
"Centro-Oeste","Goiás","Masculino","61 a 70","AE-Condutor Moto/Carreta","3.472"
"Centro-Oeste","Goiás","Masculino","61 a 70","B-Condutor Carro","64.747"
"Centro-Oeste","Goiás","Masculino","61 a 70","C-Condutor Caminhão","12.819"
"Centro-Oeste","Goiás","Masculino","61 a 70","D-Condutor Ônibus","19.016"
"Centro-Oeste","Goiás","Masculino","61 a 70","E-Condutor Carreta","5.691"
"Centro-Oeste","Goiás","Masculino","71 a 80","A-Condutor Moto","1.158"
"Centro-Oeste","Goiás","Masculino","71 a 80","AB-Condutor Moto/Carro","11.639"
"Centro-Oeste","Goiás","Masculino","71 a 80","AC-Condutor Moto/Caminhão","1.370"
"Centro-Oeste","Goiás","Masculino","71 a 80","AD-Condutor Moto/Ônibus","2.354"
"Centro-Oeste","Goiás","Masculino","71 a 80","AE-Condutor Moto/Carreta","326"
"Centro-Oeste","Goiás","Masculino","71 a 80","B-Condutor Carro","44.625"
"Centro-Oeste","Goiás","Masculino","71 a 80","C-Condutor Caminhão","5.750"
"Centro-Oeste","Goiás","Masculino","71 a 80","D-Condutor Ônibus","7.760"
"Centro-Oeste","Goiás","Masculino","71 a 80","E-Condutor Carreta","1.263"
"Centro-Oeste","Goiás","Masculino","81 a 90","A-Condutor Moto","265"
"Centro-Oeste","Goiás","Masculino","81 a 90","AB-Condutor Moto/Carro","2.693"
"Centro-Oeste","Goiás","Masculino","81 a 90","AC-Condutor Moto/Caminhão","216"
"Centro-Oeste","Goiás","Masculino","81 a 90","AD-Condutor Moto/Ônibus","401"
"Centro-Oeste","Goiás","Masculino","81 a 90","AE-Condutor Moto/Carreta","20"
"Centro-Oeste","Goiás","Masculino","81 a 90","B-Condutor Carro","20.467"
"Centro-Oeste","Goiás","Masculino","81 a 90","C-Condutor Caminhão","1.978"
"Centro-Oeste","Goiás","Masculino","81 a 90","D-Condutor Ônibus","2.730"
"Centro-Oeste","Goiás","Masculino","81 a 90","E-Condutor Carreta","183"
"Centro-Oeste","Goiás","Masculino","91 a 100","A-Condutor Moto","22"
"Centro-Oeste","Goiás","Masculino","91 a 100","AB-Condutor Moto/Carro","327"
"Centro-Oeste","Goiás","Masculino","91 a 100","AC-Condutor Moto/Caminhão","15"
"Centro-Oeste","Goiás","Masculino","91 a 100","AD-Condutor Moto/Ônibus","19"
"Centro-Oeste","Goiás","Masculino","91 a 100","B-Condutor Carro","6.104"
"Centro-Oeste","Goiás","Masculino","91 a 100","C-Condutor Caminhão","220"
"Centro-Oeste","Goiás","Masculino","91 a 100","D-Condutor Ônibus","307"
"Centro-Oeste","Goiás","Masculino","91 a 100","E-Condutor Carreta","10"
"Centro-Oeste","Goiás","Masculino","101 a 120","AB-Condutor Moto/Carro","15"
"Centro-Oeste","Goiás","Masculino","101 a 120","AD-Condutor Moto/Ônibus","1"
"Centro-Oeste","Goiás","Masculino","101 a 120","B-Condutor Carro","567"
"Centro-Oeste","Goiás","Masculino","101 a 120","C-Condutor Caminhão","5"
"Centro-Oeste","Goiás","Masculino","101 a 120","D-Condutor Ônibus","7"
"Centro-Oeste","Goiás","Feminino","18 a 21","A-Condutor Moto","761"
"Centro-Oeste","Goiás","Feminino","18 a 21","AB-Condutor Moto/Carro","17.143"
"Centro-Oeste","Goiás","Feminino","18 a 21","AC-Condutor Moto/Caminhão","2"
"Centro-Oeste","Goiás","Feminino","18 a 21","AD-Condutor Moto/Ônibus","2"
"Centro-Oeste","Goiás","Feminino","18 a 21","B-Condutor Carro","15.068"
"Centro-Oeste","Goiás","Feminino","18 a 21","D-Condutor Ônibus","1"
"Centro-Oeste","Goiás","Feminino","22 a 25","A-Condutor Moto","3.508"
"Centro-Oeste","Goiás","Feminino","22 a 25","AB-Condutor Moto/Carro","44.303"
"Centro-Oeste","Goiás","Feminino","22 a 25","AC-Condutor Moto/Caminhão","11"
"Centro-Oeste","Goiás","Feminino","22 a 25","AD-Condutor Moto/Ônibus","130"
"Centro-Oeste","Goiás","Feminino","22 a 25","AE-Condutor Moto/Carreta","4"
"Centro-Oeste","Goiás","Feminino","22 a 25","B-Condutor Carro","33.976"
"Centro-Oeste","Goiás","Feminino","22 a 25","D-Condutor Ônibus","15"
"Centro-Oeste","Goiás","Feminino","26 a 30","A-Condutor Moto","7.472"
"Centro-Oeste","Goiás","Feminino","26 a 30","AB-Condutor Moto/Carro","69.705"
"Centro-Oeste","Goiás","Feminino","26 a 30","AC-Condutor Moto/Caminhão","27"
"Centro-Oeste","Goiás","Feminino","26 a 30","AD-Condutor Moto/Ônibus","606"
"Centro-Oeste","Goiás","Feminino","26 a 30","AE-Condutor Moto/Carreta","69"
"Centro-Oeste","Goiás","Feminino","26 a 30","B-Condutor Carro","49.390"
"Centro-Oeste","Goiás","Feminino","26 a 30","C-Condutor Caminhão","8"
"Centro-Oeste","Goiás","Feminino","26 a 30","D-Condutor Ônibus","80"
"Centro-Oeste","Goiás","Feminino","26 a 30","E-Condutor Carreta","1"
"Centro-Oeste","Goiás","Feminino","31 a 40","A-Condutor Moto","18.148"
"Centro-Oeste","Goiás","Feminino","31 a 40","AB-Condutor Moto/Carro","138.395"
"Centro-Oeste","Goiás","Feminino","31 a 40","AC-Condutor Moto/Caminhão","73"
"Centro-Oeste","Goiás","Feminino","31 a 40","AD-Condutor Moto/Ônibus","2.424"
"Centro-Oeste","Goiás","Feminino","31 a 40","AE-Condutor Moto/Carreta","324"
"Centro-Oeste","Goiás","Feminino","31 a 40","B-Condutor Carro","126.283"
"Centro-Oeste","Goiás","Feminino","31 a 40","C-Condutor Caminhão","34"
"Centro-Oeste","Goiás","Feminino","31 a 40","D-Condutor Ônibus","577"
"Centro-Oeste","Goiás","Feminino","31 a 40","E-Condutor Carreta","30"
"Centro-Oeste","Goiás","Feminino","41 a 50","A-Condutor Moto","13.356"
"Centro-Oeste","Goiás","Feminino","41 a 50","AB-Condutor Moto/Carro","71.302"
"Centro-Oeste","Goiás","Feminino","41 a 50","AC-Condutor Moto/Caminhão","138"
"Centro-Oeste","Goiás","Feminino","41 a 50","AD-Condutor Moto/Ônibus","1.661"
"Centro-Oeste","Goiás","Feminino","41 a 50","AE-Condutor Moto/Carreta","281"
"Centro-Oeste","Goiás","Feminino","41 a 50","B-Condutor Carro","119.541"
"Centro-Oeste","Goiás","Feminino","41 a 50","C-Condutor Caminhão","101"
"Centro-Oeste","Goiás","Feminino","41 a 50","D-Condutor Ônibus","963"
"Centro-Oeste","Goiás","Feminino","41 a 50","E-Condutor Carreta","72"
"Centro-Oeste","Goiás","Feminino","51 a 60","A-Condutor Moto","5.115"
"Centro-Oeste","Goiás","Feminino","51 a 60","AB-Condutor Moto/Carro","21.683"
"Centro-Oeste","Goiás","Feminino","51 a 60","AC-Condutor Moto/Caminhão","156"
"Centro-Oeste","Goiás","Feminino","51 a 60","AD-Condutor Moto/Ônibus","532"
"Centro-Oeste","Goiás","Feminino","51 a 60","AE-Condutor Moto/Carreta","85"
"Centro-Oeste","Goiás","Feminino","51 a 60","B-Condutor Carro","92.099"
"Centro-Oeste","Goiás","Feminino","51 a 60","C-Condutor Caminhão","260"
