"Região Habilitação Atual","UF Habilitação Atual","Sexo","Faixa Etária","Categoria","Qt. Condutor Histórico"
"Centro-Oeste","Distrito Federal","Masculino","51 a 60","XB-Condutor Ciclomotor/Carro","2"
"Centro-Oeste","Distrito Federal","Masculino","61 a 70","A-Condutor Moto","193"
"Centro-Oeste","Distrito Federal","Masculino","61 a 70","AB-Condutor Moto/Carro","12.054"
"Centro-Oeste","Distrito Federal","Masculino","61 a 70","AC-Condutor Moto/Caminhão","853"
"Centro-Oeste","Distrito Federal","Masculino","61 a 70","AD-Condutor Moto/Ônibus","5.399"
"Centro-Oeste","Distrito Federal","Masculino","61 a 70","AE-Condutor Moto/Carreta","773"
"Centro-Oeste","Distrito Federal","Masculino","61 a 70","B-Condutor Carro","55.056"
"Centro-Oeste","Distrito Federal","Masculino","61 a 70","C-Condutor Caminhão","2.116"
"Centro-Oeste","Distrito Federal","Masculino","61 a 70","D-Condutor Ônibus","14.846"
"Centro-Oeste","Distrito Federal","Masculino","61 a 70","E-Condutor Carreta","1.700"
"Centro-Oeste","Distrito Federal","Masculino","61 a 70","XB-Condutor Ciclomotor/Carro","2"
"Centro-Oeste","Distrito Federal","Masculino","61 a 70","XC-Condutor Ciclomotor/Caminhão","1"
"Centro-Oeste","Distrito Federal","Masculino","71 a 80","A-Condutor Moto","37"
"Centro-Oeste","Distrito Federal","Masculino","71 a 80","AB-Condutor Moto/Carro","3.332"
"Centro-Oeste","Distrito Federal","Masculino","71 a 80","AC-Condutor Moto/Caminhão","122"
"Centro-Oeste","Distrito Federal","Masculino","71 a 80","AD-Condutor Moto/Ônibus","989"
"Centro-Oeste","Distrito Federal","Masculino","71 a 80","AE-Condutor Moto/Carreta","104"
"Centro-Oeste","Distrito Federal","Masculino","71 a 80","B-Condutor Carro","34.572"
"Centro-Oeste","Distrito Federal","Masculino","71 a 80","C-Condutor Caminhão","922"
"Centro-Oeste","Distrito Federal","Masculino","71 a 80","D-Condutor Ônibus","6.235"
"Centro-Oeste","Distrito Federal","Masculino","71 a 80","E-Condutor Carreta","468"
"Centro-Oeste","Distrito Federal","Masculino","71 a 80","XB-Condutor Ciclomotor/Carro","1"
"Centro-Oeste","Distrito Federal","Masculino","81 a 90","A-Condutor Moto","16"
"Centro-Oeste","Distrito Federal","Masculino","81 a 90","AB-Condutor Moto/Carro","943"
"Centro-Oeste","Distrito Federal","Masculino","81 a 90","AC-Condutor Moto/Caminhão","28"
"Centro-Oeste","Distrito Federal","Masculino","81 a 90","AD-Condutor Moto/Ônibus","248"
"Centro-Oeste","Distrito Federal","Masculino","81 a 90","AE-Condutor Moto/Carreta","7"
"Centro-Oeste","Distrito Federal","Masculino","81 a 90","B-Condutor Carro","16.997"
"Centro-Oeste","Distrito Federal","Masculino","81 a 90","C-Condutor Caminhão","380"
"Centro-Oeste","Distrito Federal","Masculino","81 a 90","D-Condutor Ônibus","2.789"
"Centro-Oeste","Distrito Federal","Masculino","81 a 90","E-Condutor Carreta","103"
"Centro-Oeste","Distrito Federal","Masculino","91 a 100","AB-Condutor Moto/Carro","176"
"Centro-Oeste","Distrito Federal","Masculino","91 a 100","AC-Condutor Moto/Caminhão","4"
"Centro-Oeste","Distrito Federal","Masculino","91 a 100","AD-Condutor Moto/Ônibus","32"
"Centro-Oeste","Distrito Federal","Masculino","91 a 100","AE-Condutor Moto/Carreta","1"
"Centro-Oeste","Distrito Federal","Masculino","91 a 100","B-Condutor Carro","5.494"
"Centro-Oeste","Distrito Federal","Masculino","91 a 100","C-Condutor Caminhão","58"
"Centro-Oeste","Distrito Federal","Masculino","91 a 100","D-Condutor Ônibus","465"
"Centro-Oeste","Distrito Federal","Masculino","91 a 100","E-Condutor Carreta","2"
"Centro-Oeste","Distrito Federal","Masculino","101 a 120","AB-Condutor Moto/Carro","18"
"Centro-Oeste","Distrito Federal","Masculino","101 a 120","AD-Condutor Moto/Ônibus","1"
"Centro-Oeste","Distrito Federal","Masculino","101 a 120","B-Condutor Carro","660"
"Centro-Oeste","Distrito Federal","Masculino","101 a 120","D-Condutor Ônibus","21"
"Centro-Oeste","Distrito Federal","Feminino","18 a 21","A-Condutor Moto","31"
"Centro-Oeste","Distrito Federal","Feminino","18 a 21","AB-Condutor Moto/Carro","1.870"
"Centro-Oeste","Distrito Federal","Feminino","18 a 21","B-Condutor Carro","13.131"
"Centro-Oeste","Distrito Federal","Feminino","22 a 25","A-Condutor Moto","189"
"Centro-Oeste","Distrito Federal","Feminino","22 a 25","AB-Condutor Moto/Carro","5.700"
"Centro-Oeste","Distrito Federal","Feminino","22 a 25","AD-Condutor Moto/Ônibus","15"
"Centro-Oeste","Distrito Federal","Feminino","22 a 25","B-Condutor Carro","36.984"
"Centro-Oeste","Distrito Federal","Feminino","22 a 25","D-Condutor Ônibus","25"
"Centro-Oeste","Distrito Federal","Feminino","26 a 30","A-Condutor Moto","451"
"Centro-Oeste","Distrito Federal","Feminino","26 a 30","AB-Condutor Moto/Carro","10.668"
"Centro-Oeste","Distrito Federal","Feminino","26 a 30","AC-Condutor Moto/Caminhão","1"
"Centro-Oeste","Distrito Federal","Feminino","26 a 30","AD-Condutor Moto/Ônibus","110"
"Centro-Oeste","Distrito Federal","Feminino","26 a 30","AE-Condutor Moto/Carreta","2"
"Centro-Oeste","Distrito Federal","Feminino","26 a 30","B-Condutor Carro","63.085"
"Centro-Oeste","Distrito Federal","Feminino","26 a 30","D-Condutor Ônibus","182"
"Centro-Oeste","Distrito Federal","Feminino","26 a 30","E-Condutor Carreta","1"
"Centro-Oeste","Distrito Federal","Feminino","31 a 40","A-Condutor Moto","1.052"
"Centro-Oeste","Distrito Federal","Feminino","31 a 40","AB-Condutor Moto/Carro","23.648"
"Centro-Oeste","Distrito Federal","Feminino","31 a 40","AC-Condutor Moto/Caminhão","1"
"Centro-Oeste","Distrito Federal","Feminino","31 a 40","AD-Condutor Moto/Ônibus","652"
"Centro-Oeste","Distrito Federal","Feminino","31 a 40","AE-Condutor Moto/Carreta","44"
"Centro-Oeste","Distrito Federal","Feminino","31 a 40","B-Condutor Carro","167.264"
"Centro-Oeste","Distrito Federal","Feminino","31 a 40","C-Condutor Caminhão","1"
"Centro-Oeste","Distrito Federal","Feminino","31 a 40","D-Condutor Ônibus","1.023"
"Centro-Oeste","Distrito Federal","Feminino","31 a 40","E-Condutor Carreta","7"
"Centro-Oeste","Distrito Federal","Feminino","41 a 50","A-Condutor Moto","574"
"Centro-Oeste","Distrito Federal","Feminino","41 a 50","AB-Condutor Moto/Carro","11.154"
"Centro-Oeste","Distrito Federal","Feminino","41 a 50","AC-Condutor Moto/Caminhão","25"
"Centro-Oeste","Distrito Federal","Feminino","41 a 50","AD-Condutor Moto/Ônibus","706"
"Centro-Oeste","Distrito Federal","Feminino","41 a 50","AE-Condutor Moto/Carreta","50"
"Centro-Oeste","Distrito Federal","Feminino","41 a 50","B-Condutor Carro","147.534"
"Centro-Oeste","Distrito Federal","Feminino","41 a 50","C-Condutor Caminhão","33"
"Centro-Oeste","Distrito Federal","Feminino","41 a 50","D-Condutor Ônibus","1.576"
"Centro-Oeste","Distrito Federal","Feminino","41 a 50","E-Condutor Carreta","37"
"Centro-Oeste","Distrito Federal","Feminino","41 a 50","XB-Condutor Ciclomotor/Carro","1"
"Centro-Oeste","Distrito Federal","Feminino","51 a 60","A-Condutor Moto","131"
"Centro-Oeste","Distrito Federal","Feminino","51 a 60","AB-Condutor Moto/Carro","4.121"
"Centro-Oeste","Distrito Federal","Feminino","51 a 60","AC-Condutor Moto/Caminhão","62"
"Centro-Oeste","Distrito Federal","Feminino","51 a 60","AD-Condutor Moto/Ônibus","312"
"Centro-Oeste","Distrito Federal","Feminino","51 a 60","AE-Condutor Moto/Carreta","25"
"Centro-Oeste","Distrito Federal","Feminino","51 a 60","B-Condutor Carro","95.701"
"Centro-Oeste","Distrito Federal","Feminino","51 a 60","C-Condutor Caminhão","136"
"Centro-Oeste","Distrito Federal","Feminino","51 a 60","D-Condutor Ônibus","1.192"
"Centro-Oeste","Distrito Federal","Feminino","51 a 60","E-Condutor Carreta","18"
"Centro-Oeste","Distrito Federal","Feminino","61 a 70","A-Condutor Moto","14"
"Centro-Oeste","Distrito Federal","Feminino","61 a 70","AB-Condutor Moto/Carro","1.078"
"Centro-Oeste","Distrito Federal","Feminino","61 a 70","AC-Condutor Moto/Caminhão","12"
"Centro-Oeste","Distrito Federal","Feminino","61 a 70","AD-Condutor Moto/Ônibus","50"
"Centro-Oeste","Distrito Federal","Feminino","61 a 70","AE-Condutor Moto/Carreta","5"
"Centro-Oeste","Distrito Federal","Feminino","61 a 70","B-Condutor Carro","55.422"
"Centro-Oeste","Distrito Federal","Feminino","61 a 70","C-Condutor Caminhão","53"
"Centro-Oeste","Distrito Federal","Feminino","61 a 70","D-Condutor Ônibus","445"
"Centro-Oeste","Distrito Federal","Feminino","61 a 70","E-Condutor Carreta","5"
"Centro-Oeste","Distrito Federal","Feminino","71 a 80","AB-Condutor Moto/Carro","126"
"Centro-Oeste","Distrito Federal","Feminino","71 a 80","AD-Condutor Moto/Ônibus","6"
"Centro-Oeste","Distrito Federal","Feminino","71 a 80","AE-Condutor Moto/Carreta","1"
"Centro-Oeste","Distrito Federal","Feminino","71 a 80","B-Condutor Carro","24.117"
"Centro-Oeste","Distrito Federal","Feminino","71 a 80","C-Condutor Caminhão","16"
"Centro-Oeste","Distrito Federal","Feminino","71 a 80","D-Condutor Ônibus","92"
"Centro-Oeste","Distrito Federal","Feminino","81 a 90","AB-Condutor Moto/Carro","12"
"Centro-Oeste","Distrito Federal","Feminino","81 a 90","AD-Condutor Moto/Ônibus","1"
"Centro-Oeste","Distrito Federal","Feminino","81 a 90","B-Condutor Carro","7.323"
"Centro-Oeste","Distrito Federal","Feminino","81 a 90","C-Condutor Caminhão","4"
"Centro-Oeste","Distrito Federal","Feminino","81 a 90","D-Condutor Ônibus","22"
"Centro-Oeste","Distrito Federal","Feminino","91 a 100","AB-Condutor Moto/Carro","4"
"Centro-Oeste","Distrito Federal","Feminino","91 a 100","B-Condutor Carro","1.346"
"Centro-Oeste","Distrito Federal","Feminino","101 a 120","B-Condutor Carro","87"
"Centro-Oeste","Distrito Federal","Feminino","101 a 120","E-Condutor Carreta","1"
"Centro-Oeste","Goiás","Masculino","18 a 21","A-Condutor Moto","1.270"
"Centro-Oeste","Goiás","Masculino","18 a 21","AB-Condutor Moto/Carro","41.460"
"Centro-Oeste","Goiás","Masculino","18 a 21","AC-Condutor Moto/Caminhão","191"
"Centro-Oeste","Goiás","Masculino","18 a 21","AD-Condutor Moto/Ônibus","131"
"Centro-Oeste","Goiás","Masculino","18 a 21","AE-Condutor Moto/Carreta","14"
"Centro-Oeste","Goiás","Masculino","18 a 21","B-Condutor Carro","13.254"
"Centro-Oeste","Goiás","Masculino","18 a 21","C-Condutor Caminhão","23"
"Centro-Oeste","Goiás","Masculino","18 a 21","D-Condutor Ônibus","12"
"Centro-Oeste","Goiás","Masculino","18 a 21","E-Condutor Carreta","3"
"Centro-Oeste","Goiás","Masculino","22 a 25","A-Condutor Moto","4.891"
"Centro-Oeste","Goiás","Masculino","22 a 25","AB-Condutor Moto/Carro","93.011"
"Centro-Oeste","Goiás","Masculino","22 a 25","AC-Condutor Moto/Caminhão","421"
"Centro-Oeste","Goiás","Masculino","22 a 25","AD-Condutor Moto/Ônibus","3.774"
"Centro-Oeste","Goiás","Masculino","22 a 25","AE-Condutor Moto/Carreta","618"
"Centro-Oeste","Goiás","Masculino","22 a 25","B-Condutor Carro","26.691"
"Centro-Oeste","Goiás","Masculino","22 a 25","C-Condutor Caminhão","56"
"Centro-Oeste","Goiás","Masculino","22 a 25","D-Condutor Ônibus","292"
"Centro-Oeste","Goiás","Masculino","22 a 25","E-Condutor Carreta","61"
"Centro-Oeste","Goiás","Masculino","26 a 30","A-Condutor Moto","9.552"
"Centro-Oeste","Goiás","Masculino","26 a 30","AB-Condutor Moto/Carro","133.570"
"Centro-Oeste","Goiás","Masculino","26 a 30","AC-Condutor Moto/Caminhão","1.161"
"Centro-Oeste","Goiás","Masculino","26 a 30","AD-Condutor Moto/Ônibus","13.965"
"Centro-Oeste","Goiás","Masculino","26 a 30","AE-Condutor Moto/Carreta","3.989"
"Centro-Oeste","Goiás","Masculino","26 a 30","B-Condutor Carro","33.188"
"Centro-Oeste","Goiás","Masculino","26 a 30","C-Condutor Caminhão","99"
"Centro-Oeste","Goiás","Masculino","26 a 30","D-Condutor Ônibus","976"
"Centro-Oeste","Goiás","Masculino","26 a 30","E-Condutor Carreta","194"
"Centro-Oeste","Goiás","Masculino","31 a 40","A-Condutor Moto","21.496"
"Centro-Oeste","Goiás","Masculino","31 a 40","AB-Condutor Moto/Carro","253.082"
"Centro-Oeste","Goiás","Masculino","31 a 40","AC-Condutor Moto/Caminhão","2.976"
"Centro-Oeste","Goiás","Masculino","31 a 40","AD-Condutor Moto/Ônibus","56.968"
"Centro-Oeste","Goiás","Masculino","31 a 40","AE-Condutor Moto/Carreta","23.130"
"Centro-Oeste","Goiás","Masculino","31 a 40","B-Condutor Carro","72.019"
"Centro-Oeste","Goiás","Masculino","31 a 40","C-Condutor Caminhão","532"
"Centro-Oeste","Goiás","Masculino","31 a 40","D-Condutor Ônibus","6.540"
"Centro-Oeste","Goiás","Masculino","31 a 40","E-Condutor Carreta","2.479"
"Centro-Oeste","Goiás","Masculino","41 a 50","A-Condutor Moto","14.826"
"Centro-Oeste","Goiás","Masculino","41 a 50","AB-Condutor Moto/Carro","165.359"
"Centro-Oeste","Goiás","Masculino","41 a 50","AC-Condutor Moto/Caminhão","8.787"
"Centro-Oeste","Goiás","Masculino","41 a 50","AD-Condutor Moto/Ônibus","51.745"
"Centro-Oeste","Goiás","Masculino","41 a 50","AE-Condutor Moto/Carreta","23.797"
"Centro-Oeste","Goiás","Masculino","41 a 50","B-Condutor Carro","79.344"
"Centro-Oeste","Goiás","Masculino","41 a 50","C-Condutor Caminhão","3.670"
"Centro-Oeste","Goiás","Masculino","41 a 50","D-Condutor Ônibus","15.091"
"Centro-Oeste","Goiás","Masculino","41 a 50","E-Condutor Carreta","7.544"
"Centro-Oeste","Goiás","Masculino","51 a 60","A-Condutor Moto","9.541"
"Centro-Oeste","Goiás","Masculino","51 a 60","AB-Condutor Moto/Carro","91.645"
"Centro-Oeste","Goiás","Masculino","51 a 60","AC-Condutor Moto/Caminhão","13.040"
"Centro-Oeste","Goiás","Masculino","51 a 60","AD-Condutor Moto/Ônibus","34.094"
"Centro-Oeste","Goiás","Masculino","51 a 60","AE-Condutor Moto/Carreta","12.111"
"Centro-Oeste","Goiás","Masculino","51 a 60","B-Condutor Carro","75.033"
"Centro-Oeste","Goiás","Masculino","51 a 60","C-Condutor Caminhão","9.003"
"Centro-Oeste","Goiás","Masculino","51 a 60","D-Condutor Ônibus","21.556"
"Centro-Oeste","Goiás","Masculino","51 a 60","E-Condutor Carreta","7.764"
"Centro-Oeste","Goiás","Masculino","51 a 60","XC-Condutor Ciclomotor/Caminhão","1"
"Centro-Oeste","Goiás","Masculino","61 a 70","A-Condutor Moto","4.088"
"Centro-Oeste","Goiás","Masculino","61 a 70","AB-Condutor Moto/Carro","37.305"
"Centro-Oeste","Goiás","Masculino","61 a 70","AC-Condutor Moto/Caminhão","7.230"
"Centro-Oeste","Goiás","Masculino","61 a 70","AD-Condutor Moto/Ônibus","13.306"
"Centro-Oeste","Goiás","Masculino","61 a 70","AE-Condutor Moto/Carreta","3.998"
"Centro-Oeste","Goiás","Masculino","61 a 70","B-Condutor Carro","67.770"
"Centro-Oeste","Goiás","Masculino","61 a 70","C-Condutor Caminhão","12.744"
"Centro-Oeste","Goiás","Masculino","61 a 70","D-Condutor Ônibus","19.352"
"Centro-Oeste","Goiás","Masculino","61 a 70","E-Condutor Carreta","6.059"
"Centro-Oeste","Goiás","Masculino","71 a 80","A-Condutor Moto","1.295"
"Centro-Oeste","Goiás","Masculino","71 a 80","AB-Condutor Moto/Carro","13.150"
"Centro-Oeste","Goiás","Masculino","71 a 80","AC-Condutor Moto/Caminhão","1.545"
"Centro-Oeste","Goiás","Masculino","71 a 80","AD-Condutor Moto/Ônibus","2.652"
"Centro-Oeste","Goiás","Masculino","71 a 80","AE-Condutor Moto/Carreta","417"
"Centro-Oeste","Goiás","Masculino","71 a 80","B-Condutor Carro","47.503"
"Centro-Oeste","Goiás","Masculino","71 a 80","C-Condutor Caminhão","5.923"
"Centro-Oeste","Goiás","Masculino","71 a 80","D-Condutor Ônibus","8.141"
"Centro-Oeste","Goiás","Masculino","71 a 80","E-Condutor Carreta","1.485"
"Centro-Oeste","Goiás","Masculino","81 a 90","A-Condutor Moto","318"
"Centro-Oeste","Goiás","Masculino","81 a 90","AB-Condutor Moto/Carro","3.255"
"Centro-Oeste","Goiás","Masculino","81 a 90","AC-Condutor Moto/Caminhão","271"
"Centro-Oeste","Goiás","Masculino","81 a 90","AD-Condutor Moto/Ônibus","489"
"Centro-Oeste","Goiás","Masculino","81 a 90","AE-Condutor Moto/Carreta","27"
"Centro-Oeste","Goiás","Masculino","81 a 90","B-Condutor Carro","22.757"
"Centro-Oeste","Goiás","Masculino","81 a 90","C-Condutor Caminhão","2.352"
"Centro-Oeste","Goiás","Masculino","81 a 90","D-Condutor Ônibus","3.123"
"Centro-Oeste","Goiás","Masculino","81 a 90","E-Condutor Carreta","230"
"Centro-Oeste","Goiás","Masculino","91 a 100","A-Condutor Moto","26"
"Centro-Oeste","Goiás","Masculino","91 a 100","AB-Condutor Moto/Carro","423"
"Centro-Oeste","Goiás","Masculino","91 a 100","AC-Condutor Moto/Caminhão","22"
"Centro-Oeste","Goiás","Masculino","91 a 100","AD-Condutor Moto/Ônibus","31"
"Centro-Oeste","Goiás","Masculino","91 a 100","B-Condutor Carro","7.170"
"Centro-Oeste","Goiás","Masculino","91 a 100","C-Condutor Caminhão","284"
"Centro-Oeste","Goiás","Masculino","91 a 100","D-Condutor Ônibus","421"
"Centro-Oeste","Goiás","Masculino","91 a 100","E-Condutor Carreta","16"
"Centro-Oeste","Goiás","Masculino","101 a 120","A-Condutor Moto","1"
"Centro-Oeste","Goiás","Masculino","101 a 120","AB-Condutor Moto/Carro","20"
"Centro-Oeste","Goiás","Masculino","101 a 120","AD-Condutor Moto/Ônibus","1"
"Centro-Oeste","Goiás","Masculino","101 a 120","B-Condutor Carro","775"
"Centro-Oeste","Goiás","Masculino","101 a 120","C-Condutor Caminhão","6"
"Centro-Oeste","Goiás","Masculino","101 a 120","D-Condutor Ônibus","16"
"Centro-Oeste","Goiás","Feminino","18 a 21","A-Condutor Moto","526"
"Centro-Oeste","Goiás","Feminino","18 a 21","AB-Condutor Moto/Carro","15.178"
"Centro-Oeste","Goiás","Feminino","18 a 21","AD-Condutor Moto/Ônibus","4"
"Centro-Oeste","Goiás","Feminino","18 a 21","B-Condutor Carro","14.492"
"Centro-Oeste","Goiás","Feminino","18 a 21","C-Condutor Caminhão","1"
"Centro-Oeste","Goiás","Feminino","22 a 25","A-Condutor Moto","2.687"
"Centro-Oeste","Goiás","Feminino","22 a 25","AB-Condutor Moto/Carro","42.399"
"Centro-Oeste","Goiás","Feminino","22 a 25","AC-Condutor Moto/Caminhão","11"
"Centro-Oeste","Goiás","Feminino","22 a 25","AD-Condutor Moto/Ônibus","95"
"Centro-Oeste","Goiás","Feminino","22 a 25","AE-Condutor Moto/Carreta","2"
"Centro-Oeste","Goiás","Feminino","22 a 25","B-Condutor Carro","33.639"
"Centro-Oeste","Goiás","Feminino","22 a 25","D-Condutor Ônibus","17"
"Centro-Oeste","Goiás","Feminino","22 a 25","E-Condutor Carreta","1"
"Centro-Oeste","Goiás","Feminino","26 a 30","A-Condutor Moto","6.652"
"Centro-Oeste","Goiás","Feminino","26 a 30","AB-Condutor Moto/Carro","70.842"
"Centro-Oeste","Goiás","Feminino","26 a 30","AC-Condutor Moto/Caminhão","21"
"Centro-Oeste","Goiás","Feminino","26 a 30","AD-Condutor Moto/Ônibus","566"
"Centro-Oeste","Goiás","Feminino","26 a 30","AE-Condutor Moto/Carreta","64"
"Centro-Oeste","Goiás","Feminino","26 a 30","B-Condutor Carro","50.643"
"Centro-Oeste","Goiás","Feminino","26 a 30","C-Condutor Caminhão","5"
"Centro-Oeste","Goiás","Feminino","26 a 30","D-Condutor Ônibus","72"
"Centro-Oeste","Goiás","Feminino","26 a 30","E-Condutor Carreta","1"
"Centro-Oeste","Goiás","Feminino","31 a 40","A-Condutor Moto","17.423"
"Centro-Oeste","Goiás","Feminino","31 a 40","AB-Condutor Moto/Carro","144.459"
"Centro-Oeste","Goiás","Feminino","31 a 40","AC-Condutor Moto/Caminhão","77"
"Centro-Oeste","Goiás","Feminino","31 a 40","AD-Condutor Moto/Ônibus","2.458"
"Centro-Oeste","Goiás","Feminino","31 a 40","AE-Condutor Moto/Carreta","341"
"Centro-Oeste","Goiás","Feminino","31 a 40","B-Condutor Carro","126.229"
"Centro-Oeste","Goiás","Feminino","31 a 40","C-Condutor Caminhão","34"
"Centro-Oeste","Goiás","Feminino","31 a 40","D-Condutor Ônibus","553"
"Centro-Oeste","Goiás","Feminino","31 a 40","E-Condutor Carreta","29"
"Centro-Oeste","Goiás","Feminino","41 a 50","A-Condutor Moto","13.822"
"Centro-Oeste","Goiás","Feminino","41 a 50","AB-Condutor Moto/Carro","79.299"
"Centro-Oeste","Goiás","Feminino","41 a 50","AC-Condutor Moto/Caminhão","123"
"Centro-Oeste","Goiás","Feminino","41 a 50","AD-Condutor Moto/Ônibus","1.845"
"Centro-Oeste","Goiás","Feminino","41 a 50","AE-Condutor Moto/Carreta","317"
"Centro-Oeste","Goiás","Feminino","41 a 50","B-Condutor Carro","123.953"
"Centro-Oeste","Goiás","Feminino","41 a 50","C-Condutor Caminhão","75"
"Centro-Oeste","Goiás","Feminino","41 a 50","D-Condutor Ônibus","984"
"Centro-Oeste","Goiás","Feminino","41 a 50","E-Condutor Carreta","75"
"Centro-Oeste","Goiás","Feminino","51 a 60","A-Condutor Moto","5.773"
"Centro-Oeste","Goiás","Feminino","51 a 60","AB-Condutor Moto/Carro","25.366"
"Centro-Oeste","Goiás","Feminino","51 a 60","AC-Condutor Moto/Caminhão","163"
"Centro-Oeste","Goiás","Feminino","51 a 60","AD-Condutor Moto/Ônibus","593"
"Centro-Oeste","Goiás","Feminino","51 a 60","AE-Condutor Moto/Carreta","91"
